,GEO_ID,NAME,afr_amer,amer_ind,asian,latino,white,tot_pop
1,0500000US01001,"Autauga County, Alabama",10538,140,573,1565,42527,55380
2,0500000US01003,"Baldwin County, Alabama",19718,1645,1969,9711,183471,212830
3,0500000US01005,"Barbour County, Alabama",12066,82,134,1105,11869,25361
4,0500000US01007,"Bibb County, Alabama",5014,30,27,579,17272,22493
5,0500000US01009,"Blount County, Alabama",928,46,212,5342,55062,57681
6,0500000US01011,"Bullock County, Alabama",7666,0,50,262,2244,10248
7,0500000US01013,"Butler County, Alabama",9001,11,69,277,10280,19828
8,0500000US01015,"Calhoun County, Alabama",23830,379,1014,4352,84439,114618
9,0500000US01017,"Chambers County, Alabama",13316,112,376,800,19423,33660
10,0500000US01019,"Cherokee County, Alabama",1191,280,64,413,24052,25903
11,0500000US01021,"Chilton County, Alabama",4041,361,195,3457,36835,44055
12,0500000US01023,"Choctaw County, Alabama",5500,8,17,53,7337,12925
13,0500000US01025,"Clarke County, Alabama",11044,26,104,79,12781,24128
14,0500000US01027,"Clay County, Alabama",2075,37,21,419,11092,13337
15,0500000US01029,"Cleburne County, Alabama",410,14,3,367,14000,14916
16,0500000US01031,"Coffee County, Alabama",8733,640,745,3763,39118,51662
17,0500000US01033,"Colbert County, Alabama",8872,319,259,1557,43289,54771
18,0500000US01035,"Conecuh County, Alabama",5919,25,56,84,6287,12394
19,0500000US01037,"Coosa County, Alabama",3615,9,0,109,7078,10757
20,0500000US01039,"Covington County, Alabama",5018,22,184,629,31460,37200
21,0500000US01041,"Crenshaw County, Alabama",3228,97,175,110,9879,13844
22,0500000US01043,"Cullman County, Alabama",1073,234,314,3611,78804,82853
23,0500000US01045,"Dale County, Alabama",10000,386,699,3210,35655,49277
24,0500000US01047,"Dallas County, Alabama",27693,37,222,419,10906,39149
25,0500000US01049,"DeKalb County, Alabama",1039,841,86,10376,60924,71310
26,0500000US01051,"Elmore County, Alabama",17449,214,439,2404,61104,81144
27,0500000US01053,"Escambia County, Alabama",11878,1479,102,865,23053,37057
28,0500000US01055,"Etowah County, Alabama",16330,581,764,3982,82027,102748
29,0500000US01057,"Fayette County, Alabama",1948,0,78,297,14068,16494
30,0500000US01059,"Franklin County, Alabama",1385,408,117,5400,26118,31466
31,0500000US01061,"Geneva County, Alabama",2538,250,115,1051,22870,26417
32,0500000US01063,"Greene County, Alabama",6618,37,0,145,1439,8324
33,0500000US01065,"Hale County, Alabama",8796,30,33,4,5854,14809
34,0500000US01067,"Henry County, Alabama",4565,30,68,449,12118,17133
35,0500000US01069,"Houston County, Alabama",28157,271,930,3479,72344,104702
36,0500000US01071,"Jackson County, Alabama",1809,629,232,1519,47456,51852
37,0500000US01073,"Jefferson County, Alabama",283311,1443,10433,25557,341768,659680
38,0500000US01075,"Lamar County, Alabama",1479,3,17,229,12154,13885
39,0500000US01077,"Lauderdale County, Alabama",9596,363,593,2476,80436,92556
40,0500000US01079,"Lawrence County, Alabama",3502,1852,65,724,25799,33058
41,0500000US01081,"Lee County, Alabama",36920,296,6899,5925,113359,161152
42,0500000US01083,"Limestone County, Alabama",13028,723,1309,5700,76003,94727
43,0500000US01085,"Lowndes County, Alabama",7522,13,0,50,2497,10079
44,0500000US01087,"Macon County, Alabama",15560,16,32,152,3000,18708
45,0500000US01089,"Madison County, Alabama",88011,2124,9555,17928,246132,362276
46,0500000US01091,"Marengo County, Alabama",10348,21,0,196,8840,19321
47,0500000US01093,"Marion County, Alabama",1070,141,54,777,27739,29866
48,0500000US01095,"Marshall County, Alabama",2549,378,573,13357,88969,95643
49,0500000US01097,"Mobile County, Alabama",148050,3192,7928,12018,242715,414114
50,0500000US01099,"Monroe County, Alabama",9026,372,58,81,11587,21270
51,0500000US01101,"Montgomery County, Alabama",131408,468,6383,7978,81265,226941
52,0500000US01103,"Morgan County, Alabama",15230,574,760,9962,95265,119213
53,0500000US01105,"Perry County, Alabama",6491,3,8,110,2737,9293
54,0500000US01107,"Pickens County, Alabama",8134,28,12,985,11477,20243
55,0500000US01109,"Pike County, Alabama",12277,188,734,750,19301,33333
56,0500000US01111,"Randolph County, Alabama",4622,38,47,668,17452,22647
57,0500000US01113,"Russell County, Alabama",25300,179,553,3182,28519,57952
58,0500000US01115,"St. Clair County, Alabama",8447,351,745,2133,76774,87989
59,0500000US01117,"Shelby County, Alabama",25878,736,4399,12208,170998,213432
60,0500000US01119,"Sumter County, Alabama",9204,9,274,68,3229,12797
61,0500000US01121,"Talladega County, Alabama",26215,342,494,1842,51398,80387
62,0500000US01123,"Tallapoosa County, Alabama",11123,90,145,981,28360,40541
63,0500000US01125,"Tuscaloosa County, Alabama",66307,448,3341,7702,133130,207305
64,0500000US01127,"Walker County, Alabama",3961,143,331,1595,58077,64110
65,0500000US01129,"Washington County, Alabama",3894,1221,42,241,10972,16541
66,0500000US01131,"Wilcox County, Alabama",7410,19,3,57,2915,10681
67,0500000US01133,"Winston County, Alabama",174,81,37,750,22845,23784
68,0500000US02013,"Aleutians East Borough, Alaska",142,1580,666,305,510,3385
69,0500000US02016,"Aleutians West Census Area, Alaska",191,614,2295,801,1660,5698
70,0500000US02020,"Anchorage Municipality, Alaska",16341,23241,28276,26927,183741,293531
71,0500000US02050,"Bethel Census Area, Alaska",135,15075,195,471,2022,18134
72,0500000US02060,"Bristol Bay Borough, Alaska",5,299,2,32,461,875
73,0500000US02068,"Denali Borough, Alaska",26,49,58,7,1892,2246
74,0500000US02070,"Dillingham Census Area, Alaska",79,3569,67,184,866,4961
75,0500000US02090,"Fairbanks North Star Borough, Alaska",4412,7849,3207,7972,74722,99072
76,0500000US02100,"Haines Borough, Alaska",0,222,33,113,2055,2518
77,0500000US02105,"Hoonah-Angoon Census Area, Alaska",68,804,34,146,986,2139
78,0500000US02110,"Juneau City and Borough, Alaska",320,3409,2231,2186,21917,32227
79,0500000US02122,"Kenai Peninsula Borough, Alaska",365,4574,924,2428,48218,58464
80,0500000US02130,"Ketchikan Gateway Borough, Alaska",104,1969,1134,727,9178,13800
81,0500000US02150,"Kodiak Island Borough, Alaska",46,1667,3055,1198,7359,13451
82,0500000US02158,"Kusilvak Census Area, Alaska",40,7600,11,93,297,8250
83,0500000US02164,"Lake and Peninsula Borough, Alaska",16,973,23,2,293,1393
84,0500000US02170,"Matanuska-Susitna Borough, Alaska",1299,6529,1453,5198,87323,105369
85,0500000US02180,"Nome Census Area, Alaska",95,7572,166,274,1555,9988
86,0500000US02185,"North Slope Borough, Alaska",151,5017,534,199,3077,9792
87,0500000US02188,"Northwest Arctic Borough, Alaska",94,6343,77,112,870,7715
88,0500000US02195,"Petersburg Borough, Alaska",33,253,153,381,2480,3257
89,0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",29,2510,91,247,3056,6407
90,0500000US02220,"Sitka City and Borough, Alaska",80,1133,579,584,5554,8640
91,0500000US02230,"Skagway Municipality, Alaska",44,66,9,63,940,1107
92,0500000US02240,"Southeast Fairbanks Census Area, Alaska",45,954,183,417,5257,6878
93,0500000US02261,"Valdez-Cordova Census Area, Alaska",35,1286,376,484,6633,9243
94,0500000US02275,"Wrangell City and Borough, Alaska",1,612,18,126,1577,2502
95,0500000US02282,"Yakutat City and Borough, Alaska",5,251,32,50,293,649
96,0500000US02290,"Yukon-Koyukuk Census Area, Alaska",4,3731,38,143,1223,5377
97,0500000US04001,"Apache County, Arizona",373,52755,246,4531,16328,71511
98,0500000US04003,"Cochise County, Arizona",5132,1563,2445,44626,107581,125867
99,0500000US04005,"Coconino County, Arizona",1742,37504,2766,19931,90333,141274
100,0500000US04007,"Gila County, Arizona",375,8733,439,10038,41171,53546
101,0500000US04009,"Graham County, Arizona",744,4804,240,12543,30366,37996
102,0500000US04011,"Greenlee County, Arizona",209,369,52,4456,8715,9522
103,0500000US04012,"La Paz County, Arizona",200,3109,151,5735,16035,20793
104,0500000US04013,"Maricopa County, Arizona",243640,85876,181352,1341560,3360305,4328810
105,0500000US04015,"Mohave County, Arizona",2217,4727,2314,34160,187413,207695
106,0500000US04017,"Navajo County, Arizona",1005,48795,652,12479,51496,109270
107,0500000US04019,"Pima County, Arizona",36581,39914,30011,382585,781004,1027207
108,0500000US04021,"Pinal County, Arizona",18915,21852,7139,130511,345754,432793
109,0500000US04023,"Santa Cruz County, Arizona",301,360,424,38793,39840,46480
110,0500000US04025,"Yavapai County, Arizona",1495,3819,2205,33166,208248,228067
111,0500000US04027,"Yuma County, Arizona",4533,3234,2777,133549,159864,209468
112,0500000US05001,"Arkansas County, Arkansas",4636,30,8,572,12921,17914
113,0500000US05003,"Ashley County, Arkansas",5150,45,39,1101,14682,20270
114,0500000US05005,"Baxter County, Arkansas",67,176,180,987,40058,41427
115,0500000US05007,"Benton County, Arkansas",4541,3707,10253,44161,232718,265759
116,0500000US05009,"Boone County, Arkansas",125,213,139,931,35900,37331
117,0500000US05011,"Bradley County, Arkansas",3135,125,7,1673,7164,10874
118,0500000US05013,"Calhoun County, Arkansas",1125,9,0,207,3957,5192
119,0500000US05015,"Carroll County, Arkansas",289,233,387,4183,25765,27965
120,0500000US05017,"Chicot County, Arkansas",5724,15,62,584,4614,10615
121,0500000US05019,"Clark County, Arkansas",5434,80,156,1059,15720,22386
122,0500000US05021,"Clay County, Arkansas",100,45,4,307,14275,14889
123,0500000US05023,"Cleburne County, Arkansas",98,294,167,609,24327,25100
124,0500000US05025,"Cleveland County, Arkansas",1040,14,0,101,6970,8128
125,0500000US05027,"Columbia County, Arkansas",8592,48,254,645,14396,23776
126,0500000US05029,"Conway County, Arkansas",2167,53,69,818,17760,20858
127,0500000US05031,"Craighead County, Arkansas",15614,482,1510,5421,84590,107345
128,0500000US05033,"Crawford County, Arkansas",993,1427,1177,4852,55246,62739
129,0500000US05035,"Crittenden County, Arkansas",23352,131,337,1246,21168,48672
130,0500000US05037,"Cross County, Arkansas",3141,35,5,167,12380,16824
131,0500000US05039,"Dallas County, Arkansas",3148,41,4,98,3888,7279
132,0500000US05041,"Desha County, Arkansas",5456,33,51,718,5710,11709
133,0500000US05043,"Drew County, Arkansas",5289,3,60,632,12611,18417
134,0500000US05045,"Faulkner County, Arkansas",14094,532,1641,5060,101450,123624
135,0500000US05047,"Franklin County, Arkansas",174,288,146,536,16682,17738
136,0500000US05049,"Fulton County, Arkansas",58,40,8,196,11736,12231
137,0500000US05051,"Garland County, Arkansas",8092,890,588,5553,84807,98555
138,0500000US05053,"Grant County, Arkansas",482,31,7,498,17180,18126
139,0500000US05055,"Greene County, Arkansas",864,125,164,1281,42557,44937
140,0500000US05057,"Hempstead County, Arkansas",6582,93,26,2800,12523,21842
141,0500000US05059,"Hot Spring County, Arkansas",3834,152,133,1176,28434,33597
142,0500000US05061,"Howard County, Arkansas",2779,49,36,1669,8967,13311
143,0500000US05063,"Independence County, Arkansas",720,70,264,2363,34101,37427
144,0500000US05065,"Izard County, Arkansas",248,169,0,314,12751,13570
145,0500000US05067,"Jackson County, Arkansas",2091,26,8,492,13230,17027
146,0500000US05069,"Jefferson County, Arkansas",39165,196,660,1455,27475,69282
147,0500000US05071,"Johnson County, Arkansas",421,63,543,3671,24056,26372
148,0500000US05073,"Lafayette County, Arkansas",2448,28,27,182,4077,6800
149,0500000US05075,"Lawrence County, Arkansas",186,44,25,256,15992,16549
150,0500000US05077,"Lee County, Arkansas",5108,35,15,230,3949,9194
151,0500000US05079,"Lincoln County, Arkansas",4106,72,0,529,8872,13455
152,0500000US05081,"Little River County, Arkansas",2710,129,42,189,9124,12347
153,0500000US05083,"Logan County, Arkansas",298,183,474,645,19887,21668
154,0500000US05085,"Lonoke County, Arkansas",4110,518,653,3241,64339,72528
155,0500000US05087,"Madison County, Arkansas",49,213,203,928,15176,16211
156,0500000US05089,"Marion County, Arkansas",80,152,147,379,15820,16476
157,0500000US05091,"Miller County, Arkansas",10789,505,173,1450,30408,43572
158,0500000US05093,"Mississippi County, Arkansas",14212,31,238,1740,25411,42126
159,0500000US05095,"Monroe County, Arkansas",3030,21,30,45,3847,7050
160,0500000US05097,"Montgomery County, Arkansas",30,132,36,388,8247,8950
161,0500000US05099,"Nevada County, Arkansas",2884,13,3,2,5247,8351
162,0500000US05101,"Newton County, Arkansas",2,196,51,33,7356,7812
163,0500000US05103,"Ouachita County, Arkansas",9923,19,18,558,13582,23830
164,0500000US05105,"Perry County, Arkansas",69,11,0,303,9963,10355
165,0500000US05107,"Phillips County, Arkansas",11750,7,0,350,6719,18606
166,0500000US05109,"Pike County, Arkansas",439,56,61,700,9774,10756
167,0500000US05111,"Poinsett County, Arkansas",1093,38,12,727,21113,23896
168,0500000US05113,"Polk County, Arkansas",95,297,57,1324,18409,20094
169,0500000US05115,"Pope County, Arkansas",1909,410,658,5751,58162,63761
170,0500000US05117,"Prairie County, Arkansas",1017,36,17,142,7020,8189
171,0500000US05119,"Pulaski County, Arkansas",144802,1171,8801,24171,219763,392967
172,0500000US05121,"Randolph County, Arkansas",192,127,21,367,16842,17695
173,0500000US05123,"St. Francis County, Arkansas",13845,97,160,1343,10630,25900
174,0500000US05125,"Saline County, Arkansas",8518,466,1528,5688,105610,119415
175,0500000US05127,"Scott County, Arkansas",25,197,75,799,9239,10376
176,0500000US05129,"Searcy County, Arkansas",48,220,55,191,7374,7908
177,0500000US05131,"Sebastian County, Arkansas",8642,1453,5737,18144,93752,127591
