,GEO_ID,NAME,unemp_rate,med_hh_inc,mean_hh_inc
1,0500000US01001,"Autauga County, Alabama",3.7,58731.0,75326.0
2,0500000US01003,"Baldwin County, Alabama",4.3,58320.0,80986.0
3,0500000US01005,"Barbour County, Alabama",9.2,32525.0,47068.0
4,0500000US01007,"Bibb County, Alabama",7.3,47542.0,60182.0
5,0500000US01009,"Blount County, Alabama",3.4,49358.0,65639.0
6,0500000US01011,"Bullock County, Alabama",3.9,37785.0,48571.0
7,0500000US01013,"Butler County, Alabama",6.8,40688.0,55971.0
8,0500000US01015,"Calhoun County, Alabama",8.1,47255.0,63417.0
9,0500000US01017,"Chambers County, Alabama",3.9,42289.0,53505.0
10,0500000US01019,"Cherokee County, Alabama",4.4,41919.0,57617.0
11,0500000US01021,"Chilton County, Alabama",6.4,47468.0,62784.0
12,0500000US01023,"Choctaw County, Alabama",7.9,35892.0,52395.0
13,0500000US01025,"Clarke County, Alabama",12.2,37404.0,54687.0
14,0500000US01027,"Clay County, Alabama",5.4,40845.0,57585.0
15,0500000US01029,"Cleburne County, Alabama",5.9,44741.0,57990.0
16,0500000US01031,"Coffee County, Alabama",5.7,55637.0,70079.0
17,0500000US01033,"Colbert County, Alabama",4.4,48065.0,60904.0
18,0500000US01035,"Conecuh County, Alabama",9.2,37837.0,47286.0
19,0500000US01037,"Coosa County, Alabama",2.9,38990.0,56017.0
20,0500000US01039,"Covington County, Alabama",8.4,42189.0,57075.0
21,0500000US01041,"Crenshaw County, Alabama",3.4,43163.0,61468.0
22,0500000US01043,"Cullman County, Alabama",5.1,44918.0,59909.0
23,0500000US01045,"Dale County, Alabama",8.0,47214.0,61001.0
24,0500000US01047,"Dallas County, Alabama",11.0,33845.0,47753.0
25,0500000US01049,"DeKalb County, Alabama",4.0,40440.0,56390.0
26,0500000US01051,"Elmore County, Alabama",4.6,60891.0,78370.0
27,0500000US01053,"Escambia County, Alabama",11.0,36275.0,50242.0
28,0500000US01055,"Etowah County, Alabama",5.5,44637.0,60379.0
29,0500000US01057,"Fayette County, Alabama",6.3,39856.0,53897.0
30,0500000US01059,"Franklin County, Alabama",4.8,43514.0,56907.0
31,0500000US01061,"Geneva County, Alabama",5.4,41732.0,53077.0
32,0500000US01063,"Greene County, Alabama",11.5,24145.0,36431.0
33,0500000US01065,"Hale County, Alabama",10.9,34046.0,51992.0
34,0500000US01067,"Henry County, Alabama",5.9,50017.0,62696.0
35,0500000US01069,"Houston County, Alabama",6.4,47580.0,67855.0
36,0500000US01071,"Jackson County, Alabama",5.1,41769.0,54808.0
37,0500000US01073,"Jefferson County, Alabama",6.5,53901.0,78812.0
38,0500000US01075,"Lamar County, Alabama",8.8,38364.0,54252.0
39,0500000US01077,"Lauderdale County, Alabama",4.7,48094.0,65763.0
40,0500000US01079,"Lawrence County, Alabama",5.3,44886.0,58315.0
41,0500000US01081,"Lee County, Alabama",5.2,51463.0,71547.0
42,0500000US01083,"Limestone County, Alabama",6.2,59686.0,77275.0
43,0500000US01085,"Lowndes County, Alabama",9.9,30036.0,47139.0
44,0500000US01087,"Macon County, Alabama",11.3,33370.0,50091.0
45,0500000US01089,"Madison County, Alabama",5.0,65449.0,88291.0
46,0500000US01091,"Marengo County, Alabama",8.0,33241.0,54556.0
47,0500000US01093,"Marion County, Alabama",5.5,35930.0,50367.0
48,0500000US01095,"Marshall County, Alabama",4.3,45983.0,63834.0
49,0500000US01097,"Mobile County, Alabama",5.8,47583.0,64948.0
50,0500000US01099,"Monroe County, Alabama",15.4,30441.0,48659.0
51,0500000US01101,"Montgomery County, Alabama",6.6,50124.0,70975.0
52,0500000US01103,"Morgan County, Alabama",5.1,52156.0,68318.0
53,0500000US01105,"Perry County, Alabama",10.1,23447.0,35819.0
54,0500000US01107,"Pickens County, Alabama",10.3,39848.0,56370.0
55,0500000US01109,"Pike County, Alabama",6.1,37446.0,57838.0
56,0500000US01111,"Randolph County, Alabama",4.2,43395.0,58836.0
57,0500000US01113,"Russell County, Alabama",6.4,42443.0,55932.0
58,0500000US01115,"St. Clair County, Alabama",5.3,58308.0,70326.0
59,0500000US01117,"Shelby County, Alabama",3.6,77799.0,100262.0
60,0500000US01119,"Sumter County, Alabama",9.7,24320.0,38978.0
61,0500000US01121,"Talladega County, Alabama",8.5,41325.0,57269.0
62,0500000US01123,"Tallapoosa County, Alabama",9.9,45828.0,60734.0
63,0500000US01125,"Tuscaloosa County, Alabama",5.8,53326.0,71528.0
64,0500000US01127,"Walker County, Alabama",8.4,43629.0,59159.0
65,0500000US01129,"Washington County, Alabama",7.3,41370.0,60489.0
