,GEO_ID,NAME,tot_poverty,pov_150
1,0500000US01001,"Autauga County, Alabama",6697,12616
2,0500000US01003,"Baldwin County, Alabama",25551,44150
3,0500000US01005,"Barbour County, Alabama",6235,9551
4,0500000US01007,"Bibb County, Alabama",3390,5431
5,0500000US01009,"Blount County, Alabama",9441,17159
6,0500000US01011,"Bullock County, Alabama",2728,4087
7,0500000US01013,"Butler County, Alabama",5126,7984
8,0500000US01015,"Calhoun County, Alabama",22135,34940
9,0500000US01017,"Chambers County, Alabama",6805,11771
10,0500000US01019,"Cherokee County, Alabama",4188,7242
11,0500000US01021,"Chilton County, Alabama",8779,14375
12,0500000US01023,"Choctaw County, Alabama",2743,4242
13,0500000US01025,"Clarke County, Alabama",6023,8725
14,0500000US01027,"Clay County, Alabama",2195,4078
15,0500000US01029,"Cleburne County, Alabama",2889,4362
16,0500000US01031,"Coffee County, Alabama",8219,12722
17,0500000US01033,"Colbert County, Alabama",8910,14451
18,0500000US01035,"Conecuh County, Alabama",4107,5808
19,0500000US01037,"Coosa County, Alabama",1610,3747
20,0500000US01039,"Covington County, Alabama",7031,11380
21,0500000US01041,"Crenshaw County, Alabama",2484,4387
22,0500000US01043,"Cullman County, Alabama",13718,23594
23,0500000US01045,"Dale County, Alabama",9897,14836
24,0500000US01047,"Dallas County, Alabama",14027,19565
25,0500000US01049,"DeKalb County, Alabama",13872,25301
26,0500000US01051,"Elmore County, Alabama",10893,16966
27,0500000US01053,"Escambia County, Alabama",8894,13695
28,0500000US01055,"Etowah County, Alabama",18713,32247
29,0500000US01057,"Fayette County, Alabama",2863,5116
30,0500000US01059,"Franklin County, Alabama",6951,11570
31,0500000US01061,"Geneva County, Alabama",6011,9399
32,0500000US01063,"Greene County, Alabama",3233,4336
33,0500000US01065,"Hale County, Alabama",3858,6036
34,0500000US01067,"Henry County, Alabama",2586,5043
35,0500000US01069,"Houston County, Alabama",19415,31548
36,0500000US01071,"Jackson County, Alabama",9780,17649
37,0500000US01073,"Jefferson County, Alabama",116750,180062
38,0500000US01075,"Lamar County, Alabama",3322,5324
39,0500000US01077,"Lauderdale County, Alabama",16538,25721
40,0500000US01079,"Lawrence County, Alabama",6050,9778
41,0500000US01081,"Lee County, Alabama",34085,48657
42,0500000US01083,"Limestone County, Alabama",12290,20240
43,0500000US01085,"Lowndes County, Alabama",3005,4552
44,0500000US01087,"Macon County, Alabama",4442,7098
45,0500000US01089,"Madison County, Alabama",45287,72534
46,0500000US01091,"Marengo County, Alabama",5504,8500
47,0500000US01093,"Marion County, Alabama",5509,10181
48,0500000US01095,"Marshall County, Alabama",19138,32290
49,0500000US01097,"Mobile County, Alabama",78633,123075
50,0500000US01099,"Monroe County, Alabama",6972,8619
51,0500000US01101,"Montgomery County, Alabama",46982,70752
52,0500000US01103,"Morgan County, Alabama",19172,32197
53,0500000US01105,"Perry County, Alabama",3605,4741
54,0500000US01107,"Pickens County, Alabama",4575,7383
55,0500000US01109,"Pike County, Alabama",8074,11700
56,0500000US01111,"Randolph County, Alabama",4542,6934
57,0500000US01113,"Russell County, Alabama",12423,19182
58,0500000US01115,"St. Clair County, Alabama",11582,19362
59,0500000US01117,"Shelby County, Alabama",17227,31452
60,0500000US01119,"Sumter County, Alabama",4582,6173
61,0500000US01121,"Talladega County, Alabama",16119,25965
62,0500000US01123,"Tallapoosa County, Alabama",9431,14157
63,0500000US01125,"Tuscaloosa County, Alabama",34470,53939
64,0500000US01127,"Walker County, Alabama",14174,22285
65,0500000US01129,"Washington County, Alabama",3585,5232
66,0500000US01131,"Wilcox County, Alabama",3768,5118
67,0500000US01133,"Winston County, Alabama",4833,8469
68,0500000US02013,"Aleutians East Borough, Alaska",510,790
69,0500000US02016,"Aleutians West Census Area, Alaska",426,965
70,0500000US02020,"Anchorage Municipality, Alaska",23652,44141
71,0500000US02050,"Bethel Census Area, Alaska",4619,7680
72,0500000US02060,"Bristol Bay Borough, Alaska",67,127
73,0500000US02068,"Denali Borough, Alaska",233,338
74,0500000US02070,"Dillingham Census Area, Alaska",815,1497
75,0500000US02090,"Fairbanks North Star Borough, Alaska",7444,13687
76,0500000US02100,"Haines Borough, Alaska",132,413
77,0500000US02105,"Hoonah-Angoon Census Area, Alaska",260,447
78,0500000US02110,"Juneau City and Borough, Alaska",2365,3725
79,0500000US02122,"Kenai Peninsula Borough, Alaska",6175,11034
80,0500000US02130,"Ketchikan Gateway Borough, Alaska",1453,2322
81,0500000US02150,"Kodiak Island Borough, Alaska",1247,2017
82,0500000US02158,"Kusilvak Census Area, Alaska",2862,4666
83,0500000US02164,"Lake and Peninsula Borough, Alaska",263,505
84,0500000US02170,"Matanuska-Susitna Borough, Alaska",9350,16002
85,0500000US02180,"Nome Census Area, Alaska",2593,3742
86,0500000US02185,"North Slope Borough, Alaska",1070,1932
87,0500000US02188,"Northwest Arctic Borough, Alaska",1874,2747
88,0500000US02195,"Petersburg Borough, Alaska",294,528
89,0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",938,1584
90,0500000US02220,"Sitka City and Borough, Alaska",796,1176
91,0500000US02230,"Skagway Municipality, Alaska",53,90
92,0500000US02240,"Southeast Fairbanks Census Area, Alaska",941,1488
93,0500000US02261,"Valdez-Cordova Census Area, Alaska",802,1496
94,0500000US02275,"Wrangell City and Borough, Alaska",237,501
95,0500000US02282,"Yakutat City and Borough, Alaska",51,145
96,0500000US02290,"Yukon-Koyukuk Census Area, Alaska",1304,2047
97,0500000US04001,"Apache County, Arizona",25658,36137
98,0500000US04003,"Cochise County, Arizona",22184,36339
99,0500000US04005,"Coconino County, Arizona",28193,40780
100,0500000US04007,"Gila County, Arizona",11097,18115
101,0500000US04009,"Graham County, Arizona",7419,11036
102,0500000US04011,"Greenlee County, Arizona",1216,2619
103,0500000US04012,"La Paz County, Arizona",4243,7503
104,0500000US04013,"Maricopa County, Arizona",666513,1046870
105,0500000US04015,"Mohave County, Arizona",37884,63153
106,0500000US04017,"Navajo County, Arizona",31575,47505
107,0500000US04019,"Pima County, Arizona",186299,291998
108,0500000US04021,"Pinal County, Arizona",61430,99310
109,0500000US04023,"Santa Cruz County, Arizona",10083,18459
110,0500000US04025,"Yavapai County, Arizona",31512,54521
111,0500000US04027,"Yuma County, Arizona",40330,71685
112,0500000US05001,"Arkansas County, Arkansas",3587,6108
113,0500000US05003,"Ashley County, Arkansas",4131,6893
114,0500000US05005,"Baxter County, Arkansas",5600,10326
115,0500000US05007,"Benton County, Arkansas",27562,53201
116,0500000US05009,"Boone County, Arkansas",6409,10912
117,0500000US05011,"Bradley County, Arkansas",3163,4570
118,0500000US05013,"Calhoun County, Arkansas",969,1827
119,0500000US05015,"Carroll County, Arkansas",4789,8929
120,0500000US05017,"Chicot County, Arkansas",3252,4706
121,0500000US05019,"Clark County, Arkansas",4762,6865
122,0500000US05021,"Clay County, Arkansas",3340,5465
123,0500000US05023,"Cleburne County, Arkansas",3901,6887
124,0500000US05025,"Cleveland County, Arkansas",1671,2412
125,0500000US05027,"Columbia County, Arkansas",5581,7951
126,0500000US05029,"Conway County, Arkansas",4482,6798
127,0500000US05031,"Craighead County, Arkansas",18682,30460
128,0500000US05033,"Crawford County, Arkansas",11491,18856
129,0500000US05035,"Crittenden County, Arkansas",11991,18399
130,0500000US05037,"Cross County, Arkansas",3364,6086
131,0500000US05039,"Dallas County, Arkansas",1054,2020
132,0500000US05041,"Desha County, Arkansas",3859,5593
133,0500000US05043,"Drew County, Arkansas",4851,7036
134,0500000US05045,"Faulkner County, Arkansas",18590,31418
135,0500000US05047,"Franklin County, Arkansas",3684,6032
136,0500000US05049,"Fulton County, Arkansas",2769,4250
137,0500000US05051,"Garland County, Arkansas",19639,30967
138,0500000US05053,"Grant County, Arkansas",2318,4393
139,0500000US05055,"Greene County, Arkansas",7621,11924
140,0500000US05057,"Hempstead County, Arkansas",5861,9251
141,0500000US05059,"Hot Spring County, Arkansas",5347,8886
142,0500000US05061,"Howard County, Arkansas",2605,5362
143,0500000US05063,"Independence County, Arkansas",6891,12024
144,0500000US05065,"Izard County, Arkansas",2775,4585
145,0500000US05067,"Jackson County, Arkansas",3866,5736
146,0500000US05069,"Jefferson County, Arkansas",16959,24971
147,0500000US05071,"Johnson County, Arkansas",5418,9264
