"GEO_ID","NAME","P2_001N","P2_002N","P2_003N","P2_004N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Urban"," !!Total:!!Rural"," !!Total:!!Not defined for this file",
"0500000US01001","Autauga County, Alabama","58805","34885","23920","0",
"0500000US01003","Baldwin County, Alabama","231767","144654","87113","0",
"0500000US01005","Barbour County, Alabama","25223","8596","16627","0",
"0500000US01007","Bibb County, Alabama","22293","0","22293","0",
"0500000US01009","Blount County, Alabama","59134","5624","53510","0",
"0500000US01011","Bullock County, Alabama","10357","0","10357","0",
"0500000US01013","Butler County, Alabama","19051","5823","13228","0",
"0500000US01015","Calhoun County, Alabama","116441","73947","42494","0",
"0500000US01017","Chambers County, Alabama","34772","17127","17645","0",
"0500000US01019","Cherokee County, Alabama","24971","0","24971","0",
"0500000US01021","Chilton County, Alabama","45014","6507","38507","0",
"0500000US01023","Choctaw County, Alabama","12665","0","12665","0",
"0500000US01025","Clarke County, Alabama","23087","0","23087","0",
"0500000US01027","Clay County, Alabama","14236","0","14236","0",
"0500000US01029","Cleburne County, Alabama","15056","0","15056","0",
"0500000US01031","Coffee County, Alabama","53465","28053","25412","0",
"0500000US01033","Colbert County, Alabama","57227","34167","23060","0",
"0500000US01035","Conecuh County, Alabama","11597","0","11597","0",
"0500000US01037","Coosa County, Alabama","10387","0","10387","0",
"0500000US01039","Covington County, Alabama","37570","11716","25854","0",
"0500000US01041","Crenshaw County, Alabama","13194","0","13194","0",
"0500000US01043","Cullman County, Alabama","87866","21440","66426","0",
"0500000US01045","Dale County, Alabama","49326","24440","24886","0",
"0500000US01047","Dallas County, Alabama","38462","21207","17255","0",
"0500000US01049","DeKalb County, Alabama","71608","8380","63228","0",
"0500000US01051","Elmore County, Alabama","87977","25305","62672","0",
"0500000US01053","Escambia County, Alabama","36757","12761","23996","0",
"0500000US01055","Etowah County, Alabama","103436","58783","44653","0",
"0500000US01057","Fayette County, Alabama","16321","0","16321","0",
"0500000US01059","Franklin County, Alabama","32113","9939","22174","0",
"0500000US01061","Geneva County, Alabama","26659","149","26510","0",
"0500000US01063","Greene County, Alabama","7730","0","7730","0",
"0500000US01065","Hale County, Alabama","14785","0","14785","0",
"0500000US01067","Henry County, Alabama","17146","0","17146","0",
"0500000US01069","Houston County, Alabama","107202","70414","36788","0",
"0500000US01071","Jackson County, Alabama","52579","12982","39597","0",
"0500000US01073","Jefferson County, Alabama","674721","593276","81445","0",
"0500000US01075","Lamar County, Alabama","13972","0","13972","0",
"0500000US01077","Lauderdale County, Alabama","93564","44758","48806","0",
"0500000US01079","Lawrence County, Alabama","33073","2","33071","0",
"0500000US01081","Lee County, Alabama","174241","128259","45982","0",
"0500000US01083","Limestone County, Alabama","103570","50736","52834","0",
"0500000US01085","Lowndes County, Alabama","10311","0","10311","0",
"0500000US01087","Macon County, Alabama","19532","9003","10529","0",
"0500000US01089","Madison County, Alabama","388153","321770","66383","0",
"0500000US01091","Marengo County, Alabama","19323","6227","13096","0",
"0500000US01093","Marion County, Alabama","29341","0","29341","0",
"0500000US01095","Marshall County, Alabama","97612","45242","52370","0",
"0500000US01097","Mobile County, Alabama","414809","321907","92902","0",
"0500000US01099","Monroe County, Alabama","19772","4284","15488","0",
"0500000US01101","Montgomery County, Alabama","228954","200646","28308","0",
"0500000US01103","Morgan County, Alabama","123421","75981","47440","0",
"0500000US01105","Perry County, Alabama","8511","0","8511","0",
"0500000US01107","Pickens County, Alabama","19123","0","19123","0",
"0500000US01109","Pike County, Alabama","33009","14466","18543","0",
"0500000US01111","Randolph County, Alabama","21967","0","21967","0",
"0500000US01113","Russell County, Alabama","59183","35302","23881","0",
"0500000US01115","St. Clair County, Alabama","91103","29963","61140","0",
"0500000US01117","Shelby County, Alabama","223024","169571","53453","0",
"0500000US01119","Sumter County, Alabama","12345","0","12345","0",
"0500000US01121","Talladega County, Alabama","82149","33944","48205","0",
"0500000US01123","Tallapoosa County, Alabama","41311","8920","32391","0",
"0500000US01125","Tuscaloosa County, Alabama","227036","156450","70586","0",
"0500000US01127","Walker County, Alabama","65342","13274","52068","0",
"0500000US01129","Washington County, Alabama","15388","0","15388","0",
"0500000US01131","Wilcox County, Alabama","10600","0","10600","0",
