,GEO_ID,NAME,afr_amer,amer_ind,asian,latino,white
1,0500000US01003,"Baldwin County, Alabama",20030,2172,2485,9675,186019
2,0500000US01015,"Calhoun County, Alabama",24183,254,1176,4301,86907
3,0500000US01043,"Cullman County, Alabama",1076,0,414,3585,80644
4,0500000US01049,"DeKalb County, Alabama",1109,762,0,10625,63867
5,0500000US01051,"Elmore County, Alabama",18092,304,400,2446,61474
6,0500000US01055,"Etowah County, Alabama",16066,1018,727,3954,83745
7,0500000US01069,"Houston County, Alabama",27957,125,851,3507,74688
8,0500000US01073,"Jefferson County, Alabama",283700,1203,12201,25590,348574
9,0500000US01077,"Lauderdale County, Alabama",0,0,0,2477,80539
10,0500000US01081,"Lee County, Alabama",35563,212,6452,6093,118059
11,0500000US01083,"Limestone County, Alabama",12971,901,1677,5737,77494
12,0500000US01089,"Madison County, Alabama",87843,2357,10285,17728,253143
13,0500000US01095,"Marshall County, Alabama",2140,670,687,13299,90658
14,0500000US01097,"Mobile County, Alabama",147234,3410,7504,11943,249926
15,0500000US01101,"Montgomery County, Alabama",131468,311,6747,7858,84580
16,0500000US01103,"Morgan County, Alabama",15143,678,760,9851,97660
17,0500000US01115,"St. Clair County, Alabama",0,0,0,2107,78493
18,0500000US01117,"Shelby County, Alabama",26651,571,3167,12305,176812
19,0500000US01121,"Talladega County, Alabama",26648,250,162,1851,51631
20,0500000US01125,"Tuscaloosa County, Alabama",66928,755,3522,7793,134446
21,0500000US01127,"Walker County, Alabama",3831,328,353,1650,58997
22,0500000US02020,"Anchorage Municipality, Alaska",14810,22906,31646,26948,207609
23,0500000US02090,"Fairbanks North Star Borough, Alaska",4541,7512,2964,8073,82698
24,0500000US02170,"Matanuska-Susitna Borough, Alaska",1540,6605,1522,5223,95800
25,0500000US04001,"Apache County, Arizona",0,0,0,4480,16396
26,0500000US04003,"Cochise County, Arizona",5042,1981,2258,44397,110806
27,0500000US04005,"Coconino County, Arizona",1731,36364,3259,19903,96852
28,0500000US04013,"Maricopa County, Arizona",235421,87049,179761,1339574,3478210
29,0500000US04015,"Mohave County, Arizona",2473,4806,2525,34063,191190
30,0500000US04017,"Navajo County, Arizona",1291,46635,638,12283,53940
31,0500000US04019,"Pima County, Arizona",35898,42875,29936,381290,820476
32,0500000US04021,"Pinal County, Arizona",17748,19642,7007,129482,369741
33,0500000US04025,"Yavapai County, Arizona",1314,2698,2814,33172,216707
34,0500000US04027,"Yuma County, Arizona",4767,3939,2718,132705,172344
35,0500000US05007,"Benton County, Arkansas",5199,4850,10703,44438,239802
36,0500000US05031,"Craighead County, Arkansas",13657,148,1533,5545,88735
37,0500000US05045,"Faulkner County, Arkansas",15116,210,1830,5016,103040
38,0500000US05051,"Garland County, Arkansas",8358,537,271,5624,86149
39,0500000US05069,"Jefferson County, Arkansas",39567,159,856,1457,27790
40,0500000US05085,"Lonoke County, Arkansas",5004,591,167,3438,66889
41,0500000US05119,"Pulaski County, Arkansas",144945,781,8976,24325,227759
42,0500000US05125,"Saline County, Arkansas",8837,148,1505,5731,107278
43,0500000US05131,"Sebastian County, Arkansas",7784,1115,5082,18442,101262
44,0500000US05143,"Washington County, Arkansas",8058,1689,6459,39076,183863
45,0500000US05145,"White County, Arkansas",3402,455,500,3439,73403
46,0500000US06001,"Alameda County, California",174829,10993,502289,373672,747095
47,0500000US06007,"Butte County, California",4188,3346,11961,37569,197989
48,0500000US06013,"Contra Costa County, California",94211,5355,195332,294584,726386
49,0500000US06017,"El Dorado County, California",1645,1448,8316,24278,173974
50,0500000US06019,"Fresno County, California",46347,9657,102464,525935,684948
51,0500000US06023,"Humboldt County, California",1821,5216,4363,16015,116564
52,0500000US06025,"Imperial County, California",4562,1575,2093,154058,113026
53,0500000US06029,"Kern County, California",47820,9145,45271,477237,695354
54,0500000US06031,"Kings County, California",9297,2476,5937,82293,106633
55,0500000US06033,"Lake County, California",1388,2968,1062,13209,49891
56,0500000US06037,"Los Angeles County, California",823121,73839,1500637,4939605,5341489
57,0500000US06039,"Madera County, California",5644,3179,3730,90920,108252
58,0500000US06041,"Marin County, California",4646,1001,15642,42076,212445
59,0500000US06045,"Mendocino County, California",775,3574,1796,22335,77087
60,0500000US06047,"Merced County, California",7786,2883,21738,162490,160783
61,0500000US06053,"Monterey County, California",11199,1627,24056,257466,225335
62,0500000US06055,"Napa County, California",3362,949,11380,48325,109349
63,0500000US06057,"Nevada County, California",489,528,504,9438,97351
64,0500000US06059,"Orange County, California",56047,16541,657068,1091887,2014418
65,0500000US06061,"Placer County, California",6325,2183,29727,54239,331971
66,0500000US06065,"Riverside County, California",159227,19874,160820,1188993,1465086
67,0500000US06067,"Sacramento County, California",148713,9918,237209,355942,954956
68,0500000US06071,"San Bernardino County, California",175209,20073,157083,1152510,1409204
69,0500000US06073,"San Diego County, California",165577,25433,403200,1129970,2479284
70,0500000US06075,"San Francisco County, California",45815,3078,306459,134705,445584
71,0500000US06077,"San Joaquin County, California",53882,3933,114582,310067,481934
72,0500000US06079,"San Luis Obispo County, California",5364,3382,10291,64128,253277
73,0500000US06081,"San Mateo County, California",18758,3712,221757,188954,411252
74,0500000US06083,"Santa Barbara County, California",7803,3680,24908,204559,362409
75,0500000US06085,"Santa Clara County, California",49943,11586,705366,496020,931632
76,0500000US06087,"Santa Cruz County, California",2687,1887,13516,93586,212679
77,0500000US06089,"Shasta County, California",2873,6853,5640,18190,160663
78,0500000US06095,"Solano County, California",60377,1951,70763,118198,257704
79,0500000US06097,"Sonoma County, California",8256,5374,20424,136100,392729
80,0500000US06099,"Stanislaus County, California",17428,4161,29258,253776,445416
81,0500000US06101,"Sutter County, California",2278,1496,16109,29999,70372
82,0500000US06107,"Tulare County, California",7240,5390,14085,300646,369226
83,0500000US06111,"Ventura County, California",17028,7610,65149,366266,718052
84,0500000US06113,"Yolo County, California",5856,940,29363,69602,165067
85,0500000US06115,"Yuba County, California",3588,1199,4780,21808,63979
86,0500000US08001,"Adams County, Colorado",17889,3940,22618,201501,435470
87,0500000US08005,"Arapahoe County, Colorado",69675,4455,37969,123957,486227
88,0500000US08013,"Boulder County, Colorado",3202,1445,14887,44954,296046
89,0500000US08014,"Broomfield County, Colorado",1028,330,4591,8476,61546
90,0500000US08031,"Denver County, Colorado",64231,7422,27131,210821,551386
91,0500000US08035,"Douglas County, Colorado",4918,1140,16920,29218,305402
92,0500000US08041,"El Paso County, Colorado",42690,6463,18137,119283,592403
93,0500000US08059,"Jefferson County, Colorado",5801,4791,16249,88333,536976
94,0500000US08069,"Larimer County, Colorado",3881,3058,7315,39371,325615
95,0500000US08077,"Mesa County, Colorado",1147,1054,1802,22078,144682
96,0500000US08101,"Pueblo County, Colorado",3050,6401,2051,71585,139087
97,0500000US08123,"Weld County, Colorado",3539,1457,4851,89303,284298
98,0500000US09001,"Fairfield County, Connecticut",103404,2828,52069,189042,715074
99,0500000US09003,"Hartford County, Connecticut",124617,2841,48514,161377,657002
100,0500000US09005,"Litchfield County, Connecticut",4349,391,3511,11498,171229
101,0500000US09007,"Middlesex County, Connecticut",10147,928,5172,10343,146260
102,0500000US09009,"New Haven County, Connecticut",116220,1202,34333,156118,655527
103,0500000US09011,"New London County, Connecticut",13584,2446,11426,28444,231238
104,0500000US09013,"Tolland County, Connecticut",5563,52,7171,8415,135255
105,0500000US09015,"Windham County, Connecticut",2694,580,1728,13596,106425
106,0500000US10001,"Kent County, Delaware",45791,576,3077,12703,124826
107,0500000US10003,"New Castle County, Delaware",138971,1654,33050,55724,374495
108,0500000US10005,"Sussex County, Delaware",25594,499,2803,21113,187051
