,GEO_ID,NAME,tot_poverty,pov_18_64,pov_65_up,pov_150,pov_18_up
1,0500000US01003,"Baldwin County, Alabama",214740,124431,43483,36705,167914
2,0500000US01015,"Calhoun County, Alabama",111061,66953,20192,35852,87145
3,0500000US01043,"Cullman County, Alabama",82209,48090,15405,20871,63495
4,0500000US01049,"DeKalb County, Alabama",70157,41495,11993,24735,53488
5,0500000US01051,"Elmore County, Alabama",77240,47131,11904,14266,59035
6,0500000US01055,"Etowah County, Alabama",100867,60506,19134,28593,79640
7,0500000US01069,"Houston County, Alabama",103515,61388,18487,28818,79875
8,0500000US01073,"Jefferson County, Alabama",643119,394338,102321,156629,496659
9,0500000US01077,"Lauderdale County, Alabama",90384,54550,18064,20247,72614
10,0500000US01081,"Lee County, Alabama",157870,103597,19728,45888,123325
11,0500000US01083,"Limestone County, Alabama",93095,55896,14998,19525,70894
12,0500000US01089,"Madison County, Alabama",357121,222755,55051,71012,277806
13,0500000US01095,"Marshall County, Alabama",94435,55271,15978,27770,71249
14,0500000US01097,"Mobile County, Alabama",406968,246160,65430,134405,311590
15,0500000US01101,"Montgomery County, Alabama",218245,133428,33261,66311,166689
16,0500000US01103,"Morgan County, Alabama",117592,70539,20063,26985,90602
17,0500000US01115,"St. Clair County, Alabama",86702,51833,14530,17405,66363
18,0500000US01117,"Shelby County, Alabama",211940,131309,32879,31003,164188
19,0500000US01121,"Talladega County, Alabama",76270,46043,14126,24645,60169
20,0500000US01125,"Tuscaloosa County, Alabama",198260,128145,26913,49590,155058
21,0500000US01127,"Walker County, Alabama",62727,37150,11829,18399,48979
22,0500000US02020,"Anchorage Municipality, Alaska",285536,183258,31759,38939,215017
23,0500000US02090,"Fairbanks North Star Borough, Alaska",94455,61291,10147,16276,71438
24,0500000US02170,"Matanuska-Susitna Borough, Alaska",105239,63837,12965,17938,76802
25,0500000US04001,"Apache County, Arizona",70749,40419,10860,36383,51279
26,0500000US04003,"Cochise County, Arizona",119305,64377,28263,31319,92640
27,0500000US04005,"Coconino County, Arizona",129038,82536,17689,32614,100225
28,0500000US04013,"Maricopa County, Arizona",4355605,2655645,662728,892988,3318373
29,0500000US04015,"Mohave County, Arizona",205705,107249,63216,58575,170465
30,0500000US04017,"Navajo County, Arizona",107624,58705,20067,48135,78772
31,0500000US04019,"Pima County, Arizona",1010866,594354,203475,258951,797829
32,0500000US04021,"Pinal County, Arizona",418346,229389,89732,93887,319121
33,0500000US04025,"Yavapai County, Arizona",226881,117473,73151,55298,190624
34,0500000US04027,"Yuma County, Arizona",205802,113377,39721,75324,153098
35,0500000US05007,"Benton County, Arkansas",268354,162906,35530,46480,198436
36,0500000US05031,"Craighead County, Arkansas",104628,63526,14560,31565,78086
37,0500000US05045,"Faulkner County, Arkansas",119579,75548,15377,31046,90925
38,0500000US05051,"Garland County, Arkansas",97515,55542,22535,29933,78077
39,0500000US05069,"Jefferson County, Arkansas",60796,35247,11124,20797,46371
40,0500000US05085,"Lonoke County, Arkansas",72534,44671,9373,16455,54044
41,0500000US05119,"Pulaski County, Arkansas",386172,237832,58941,107061,296773
42,0500000US05125,"Saline County, Arkansas",119734,70829,21316,20138,92145
43,0500000US05131,"Sebastian County, Arkansas",126053,76358,19374,37421,95732
44,0500000US05143,"Washington County, Arkansas",228416,146109,25918,61329,172027
45,0500000US05145,"White County, Arkansas",74785,45069,11989,22707,57058
46,0500000US06001,"Alameda County, California",1642667,1076107,226406,223038,1302513
47,0500000US06007,"Butte County, California",226193,138457,42119,67843,180576
48,0500000US06013,"Contra Costa County, California",1141015,705725,178779,153459,884504
49,0500000US06017,"El Dorado County, California",189589,111409,40221,26971,151630
50,0500000US06019,"Fresno County, California",975927,580398,119119,335662,699517
51,0500000US06023,"Humboldt County, California",132985,83505,24056,42708,107561
52,0500000US06025,"Imperial County, California",171991,97884,23344,61660,121228
53,0500000US06029,"Kern County, California",866580,514949,96483,284943,611432
54,0500000US06031,"Kings County, California",137060,82340,14828,41261,97168
55,0500000US06033,"Lake County, California",62940,35552,14632,17485,50184
56,0500000US06037,"Los Angeles County, California",9953165,6443780,1347942,2401547,7791722
57,0500000US06039,"Madera County, California",149208,84643,21635,50649,106278
58,0500000US06041,"Marin County, California",253650,144998,57296,24440,202294
59,0500000US06045,"Mendocino County, California",85879,48960,18763,21934,67723
60,0500000US06047,"Merced County, California",268968,158554,30551,90298,189105
61,0500000US06053,"Monterey County, California",418664,247627,58424,91292,306051
62,0500000US06055,"Napa County, California",136739,81621,26236,20361,107857
63,0500000US06057,"Nevada County, California",98694,54519,27172,17576,81691
64,0500000US06059,"Orange County, California",3148187,1994966,464567,537598,2459533
65,0500000US06061,"Placer County, California",389406,226946,75623,44373,302569
66,0500000US06065,"Riverside County, California",2411413,1454429,349585,528004,1804014
67,0500000US06067,"Sacramento County, California",1522720,948373,214448,355483,1162821
68,0500000US06071,"San Bernardino County, California",2121692,1313029,246620,533822,1559649
69,0500000US06073,"San Diego County, California",3259203,2082196,462988,630055,2545184
70,0500000US06075,"San Francisco County, California",869727,617051,135949,134992,753000
71,0500000US06077,"San Joaquin County, California",735733,442873,92595,185396,535468
72,0500000US06079,"San Luis Obispo County, California",267624,161953,56784,48389,218737
73,0500000US06081,"San Mateo County, California",764657,485305,121881,85299,607186
74,0500000US06083,"Santa Barbara County, California",426201,263069,67215,92096,330284
75,0500000US06085,"Santa Clara County, California",1907047,1230241,256920,230089,1487161
76,0500000US06087,"Santa Cruz County, California",261414,166218,44742,49645,210960
77,0500000US06089,"Shasta County, California",176694,103294,36313,40657,139607
78,0500000US06095,"Solano County, California",435952,269174,69113,61066,338287
79,0500000US06097,"Sonoma County, California",493293,300104,96495,85724,396599
80,0500000US06099,"Stanislaus County, California",546057,327485,71062,144461,398547
81,0500000US06101,"Sutter County, California",95346,56652,14513,20505,71165
82,0500000US06107,"Tulare County, California",460709,267808,51376,167812,319184
83,0500000US06111,"Ventura County, California",838307,516372,130663,144376,647035
84,0500000US06113,"Yolo County, California",212296,139696,26699,62973,166395
85,0500000US06115,"Yuba County, California",76394,46321,9345,21383,55666
86,0500000US08001,"Adams County, Colorado",507674,320932,52220,89552,373152
87,0500000US08005,"Arapahoe County, Colorado",645350,410571,83552,91701,494123
88,0500000US08013,"Boulder County, Colorado",313578,206945,45055,47022,252000
89,0500000US08014,"Broomfield County, Colorado",68937,43656,9449,7975,53105
90,0500000US08031,"Denver County, Colorado",704493,483331,82102,133779,565433
91,0500000US08035,"Douglas County, Colorado",341204,213330,39690,13313,253020
92,0500000US08041,"El Paso County, Colorado",694772,434488,90258,115923,524746
93,0500000US08059,"Jefferson County, Colorado",570424,364064,93738,66015,457802
94,0500000US08069,"Larimer County, Colorado",340970,218691,53963,54628,272654
95,0500000US08077,"Mesa County, Colorado",150185,88539,28439,39693,116978
96,0500000US08101,"Pueblo County, Colorado",163507,96704,29978,44625,126682
97,0500000US08123,"Weld County, Colorado",306619,187213,38000,56833,225213
