,GEO_ID,NAME,afr_amer,amer_ind,asian,latino,white,tot_pop
1,0500000US01001,"Autauga County, Alabama",10196,226,444,1416,42311,55049
2,0500000US01003,"Baldwin County, Alabama",18594,1355,1338,8712,172441,199510
3,0500000US01005,"Barbour County, Alabama",12756,46,129,1147,12430,26614
4,0500000US01007,"Bibb County, Alabama",4788,81,14,502,17370,22572
5,0500000US01009,"Blount County, Alabama",905,201,92,5036,55073,57704
6,0500000US01011,"Bullock County, Alabama",7967,84,84,13,2301,10552
7,0500000US01013,"Butler County, Alabama",8875,15,203,253,10876,20280
8,0500000US01015,"Calhoun County, Alabama",23791,382,1079,3982,86777,115883
9,0500000US01017,"Chambers County, Alabama",13779,78,312,148,19417,34018
10,0500000US01019,"Cherokee County, Alabama",1209,152,109,405,24156,25897
11,0500000US01021,"Chilton County, Alabama",4418,134,191,3341,36740,43817
12,0500000US01023,"Choctaw County, Alabama",5658,2,6,74,7495,13287
13,0500000US01025,"Clarke County, Alabama",11304,8,114,43,13253,24847
14,0500000US01027,"Clay County, Alabama",1993,124,0,419,11177,13483
15,0500000US01029,"Cleburne County, Alabama",354,21,86,349,14176,14991
16,0500000US01031,"Coffee County, Alabama",8766,421,623,3344,38945,50991
17,0500000US01033,"Colbert County, Alabama",8532,328,255,1306,43379,54377
18,0500000US01035,"Conecuh County, Alabama",5880,19,14,224,6593,12697
19,0500000US01037,"Coosa County, Alabama",3516,8,0,140,7204,10864
20,0500000US01039,"Covington County, Alabama",4945,130,176,578,31881,37729
21,0500000US01041,"Crenshaw County, Alabama",3312,123,232,234,9935,13896
22,0500000US01043,"Cullman County, Alabama",899,425,497,3426,77946,81316
23,0500000US01045,"Dale County, Alabama",9756,295,508,2921,36921,49607
24,0500000US01047,"Dallas County, Alabama",28798,91,163,397,11884,41426
25,0500000US01049,"DeKalb County, Alabama",1082,979,214,9942,61858,70937
26,0500000US01051,"Elmore County, Alabama",17296,210,457,2268,61018,80957
27,0500000US01053,"Escambia County, Alabama",12267,1317,40,780,23453,37875
28,0500000US01055,"Etowah County, Alabama",15931,475,699,3752,84024,103363
29,0500000US01057,"Fayette County, Alabama",2104,0,45,144,14371,16783
30,0500000US01059,"Franklin County, Alabama",1427,313,102,5057,28133,31573
31,0500000US01061,"Geneva County, Alabama",2570,126,103,992,23235,26765
32,0500000US01063,"Greene County, Alabama",6977,35,14,53,1472,8587
33,0500000US01065,"Hale County, Alabama",8843,49,16,183,6062,15159
34,0500000US01067,"Henry County, Alabama",4793,0,0,435,12113,17187
35,0500000US01069,"Houston County, Alabama",27680,427,866,3311,72332,103891
36,0500000US01071,"Jackson County, Alabama",1733,448,196,1435,47949,52608
37,0500000US01073,"Jefferson County, Alabama",280248,1467,9932,24316,345499,659096
38,0500000US01075,"Lamar County, Alabama",1584,42,0,201,12315,14066
39,0500000US01077,"Lauderdale County, Alabama",9126,371,629,2217,80627,92641
40,0500000US01079,"Lawrence County, Alabama",3800,1653,31,691,26108,33433
