,GEO_ID,NAME,tot_poverty,pov_150
1,0500000US01001,"Autauga County, Alabama",8340,12836
2,0500000US01003,"Baldwin County, Alabama",21704,38644
3,0500000US01005,"Barbour County, Alabama",6875,9627
4,0500000US01007,"Bibb County, Alabama",3740,5726
5,0500000US01009,"Blount County, Alabama",7739,14321
6,0500000US01011,"Bullock County, Alabama",2825,3644
7,0500000US01013,"Butler County, Alabama",4397,7121
8,0500000US01015,"Calhoun County, Alabama",19969,32376
9,0500000US01017,"Chambers County, Alabama",5711,9872
10,0500000US01019,"Cherokee County, Alabama",3560,7582
11,0500000US01021,"Chilton County, Alabama",8302,13647
12,0500000US01023,"Choctaw County, Alabama",2968,4445
13,0500000US01025,"Clarke County, Alabama",5484,8201
14,0500000US01027,"Clay County, Alabama",2342,4334
15,0500000US01029,"Cleburne County, Alabama",2531,3956
16,0500000US01031,"Coffee County, Alabama",7670,11915
17,0500000US01033,"Colbert County, Alabama",8390,13312
18,0500000US01035,"Conecuh County, Alabama",2161,4284
19,0500000US01037,"Coosa County, Alabama",1399,2829
20,0500000US01039,"Covington County, Alabama",6756,10833
21,0500000US01041,"Crenshaw County, Alabama",2065,3960
22,0500000US01043,"Cullman County, Alabama",12133,20254
23,0500000US01045,"Dale County, Alabama",8424,13946
24,0500000US01047,"Dallas County, Alabama",11204,15800
25,0500000US01049,"DeKalb County, Alabama",14833,25929
26,0500000US01051,"Elmore County, Alabama",8820,14812
27,0500000US01053,"Escambia County, Alabama",7551,12095
28,0500000US01055,"Etowah County, Alabama",17625,28478
29,0500000US01057,"Fayette County, Alabama",3146,5227
30,0500000US01059,"Franklin County, Alabama",6007,9335
31,0500000US01061,"Geneva County, Alabama",5743,8573
32,0500000US01063,"Greene County, Alabama",3140,4498
33,0500000US01065,"Hale County, Alabama",3522,5592
34,0500000US01067,"Henry County, Alabama",2316,4348
35,0500000US01069,"Houston County, Alabama",18885,30271
36,0500000US01071,"Jackson County, Alabama",9536,16668
37,0500000US01073,"Jefferson County, Alabama",103417,164954
38,0500000US01075,"Lamar County, Alabama",2827,4551
39,0500000US01077,"Lauderdale County, Alabama",13175,22735
40,0500000US01079,"Lawrence County, Alabama",5906,9344
41,0500000US01081,"Lee County, Alabama",30423,44487
42,0500000US01083,"Limestone County, Alabama",12436,19973
43,0500000US01085,"Lowndes County, Alabama",2664,4277
