,GEO_ID,NAME,afr_amer,amer_ind,asian,latino,white
1,0500000US01003,"Baldwin County, Alabama",0,914,0,199352,2025
2,0500000US01015,"Calhoun County, Alabama",0,1064,0,110511,2248
3,0500000US01043,"Cullman County, Alabama",0,763,0,78904,642
4,0500000US01049,"DeKalb County, Alabama",0,74,0,60791,5167
5,0500000US01051,"Elmore County, Alabama",0,0,0,81019,0
6,0500000US01055,"Etowah County, Alabama",0,858,0,98670,0
7,0500000US01069,"Houston County, Alabama",0,1054,90,100676,1133
8,0500000US01073,"Jefferson County, Alabama",0,8366,725,634967,15747
9,0500000US01077,"Lauderdale County, Alabama",0,720,0,89944,119
10,0500000US01081,"Lee County, Alabama",0,6648,2727,152991,1088
11,0500000US01083,"Limestone County, Alabama",0,364,0,87392,214
12,0500000US01089,"Madison County, Alabama",0,8383,1031,339755,5427
13,0500000US01095,"Marshall County, Alabama",0,746,0,82339,707
14,0500000US01097,"Mobile County, Alabama",0,8269,469,403255,5097
15,0500000US01101,"Montgomery County, Alabama",0,5753,2904,218778,4024
16,0500000US01103,"Morgan County, Alabama",0,1076,0,109356,6542
17,0500000US01115,"St. Clair County, Alabama",0,0,0,85920,0
18,0500000US01117,"Shelby County, Alabama",0,4535,0,198532,8798
19,0500000US01121,"Talladega County, Alabama",0,548,0,78345,626
20,0500000US01125,"Tuscaloosa County, Alabama",0,3413,0,198873,2956
21,0500000US01127,"Walker County, Alabama",0,0,0,63369,0
22,0500000US02020,"Anchorage Municipality, Alaska",0,27142,2735,271285,9589
23,0500000US02090,"Fairbanks North Star Borough, Alaska",0,3875,0,92656,2594
24,0500000US02170,"Matanuska-Susitna Borough, Alaska",0,1083,0,99382,815
25,0500000US04001,"Apache County, Arizona",0,106,0,68806,981
26,0500000US04003,"Cochise County, Arizona",0,2783,0,81726,2478
27,0500000US04005,"Coconino County, Arizona",0,2670,383,121422,3195
28,0500000US04013,"Maricopa County, Arizona",740,168720,10084,2940578,409213
29,0500000US04015,"Mohave County, Arizona",0,2029,0,172005,4028
30,0500000US04017,"Navajo County, Arizona",0,897,0,97696,4833
31,0500000US04019,"Pima County, Arizona",321,28713,2245,642250,108530
32,0500000US04021,"Pinal County, Arizona",0,8568,225,295500,19625
33,0500000US04025,"Yavapai County, Arizona",0,2368,76,193193,4266
34,0500000US04027,"Yuma County, Arizona",0,2719,195,76472,78893
35,0500000US05007,"Benton County, Arkansas",0,9343,277,215993,4638
36,0500000US05031,"Craighead County, Arkansas",0,1394,0,100644,2780
37,0500000US05045,"Faulkner County, Arkansas",0,1404,0,117332,3288
38,0500000US05051,"Garland County, Arkansas",0,1046,0,92175,1433
39,0500000US05069,"Jefferson County, Arkansas",0,291,0,68586,435
40,0500000US05085,"Lonoke County, Arkansas",0,1032,0,69016,1362
41,0500000US05119,"Pulaski County, Arkansas",0,8604,1197,369453,13389
42,0500000US05125,"Saline County, Arkansas",0,1212,0,113317,0
43,0500000US05131,"Sebastian County, Arkansas",0,5547,0,110004,14440
44,0500000US05143,"Washington County, Arkansas",0,5402,244,190642,26446
45,0500000US05145,"White County, Arkansas",0,0,0,75928,0
46,0500000US06001,"Alameda County, California",0,483856,23067,1276632,195022
47,0500000US06007,"Butte County, California",0,10665,1015,190582,11550
48,0500000US06013,"Contra Costa County, California",0,183849,7864,846414,118114
49,0500000US06017,"El Dorado County, California",0,8904,702,161926,4552
50,0500000US06019,"Fresno County, California",0,101993,2615,462652,151820
51,0500000US06023,"Humboldt County, California",0,4212,0,121144,4027
52,0500000US06025,"Imperial County, California",0,2731,502,29386,56342
53,0500000US06029,"Kern County, California",0,40615,2904,417213,116484
54,0500000US06031,"Kings County, California",0,5238,8,68645,27294
55,0500000US06033,"Lake County, California",0,343,0,51316,8783
56,0500000US06037,"Los Angeles County, California",1000,1474575,207891,5219085,2376151
57,0500000US06039,"Madera County, California",0,2748,0,65896,29894
58,0500000US06041,"Marin County, California",0,13886,937,218924,28201
59,0500000US06045,"Mendocino County, California",0,1125,0,65762,6596
60,0500000US06047,"Merced County, California",0,21156,328,110472,82711
61,0500000US06053,"Monterey County, California",0,24852,2130,181389,138841
62,0500000US06055,"Napa County, California",0,11301,531,93919,11721
63,0500000US06057,"Nevada County, California",0,1742,0,89739,1763
64,0500000US06059,"Orange County, California",207,637622,93419,2085841,376113
65,0500000US06061,"Placer County, California",0,26369,1865,327964,18522
66,0500000US06065,"Riverside County, California",0,149105,12782,1231572,575500
67,0500000US06067,"Sacramento County, California",0,230645,7118,1166822,134368
68,0500000US06071,"San Bernardino County, California",168,152270,10343,1010203,396921
69,0500000US06073,"San Diego County, California",1099,389369,22011,2205424,200685
70,0500000US06075,"San Francisco County, California",0,300409,10679,738349,79029
71,0500000US06077,"San Joaquin County, California",0,111547,1863,431557,84469
72,0500000US06079,"San Luis Obispo County, California",0,10989,749,219715,18254
73,0500000US06081,"San Mateo County, California",0,214801,7935,575488,97560
74,0500000US06083,"Santa Barbara County, California",0,24802,1703,244826,50507
75,0500000US06085,"Santa Clara County, California",0,683532,29619,1422062,251398
76,0500000US06087,"Santa Cruz County, California",0,13692,1434,182585,43149
77,0500000US06089,"Shasta County, California",0,6016,81,162069,1894
78,0500000US06095,"Solano County, California",0,66560,1762,325029,52695
79,0500000US06097,"Sonoma County, California",0,21487,1703,369453,75115
80,0500000US06099,"Stanislaus County, California",0,30615,137,294559,75486
81,0500000US06101,"Sutter County, California",0,14849,203,67210,3990
82,0500000US06107,"Tulare County, California",0,20506,1029,165289,77218
83,0500000US06111,"Ventura County, California",0,60772,2218,488224,52005
84,0500000US06113,"Yolo County, California",0,30155,2153,147775,13338
85,0500000US06115,"Yuba County, California",0,3656,0,54344,4241
86,0500000US08001,"Adams County, Colorado",571,19783,596,300912,36587
87,0500000US08005,"Arapahoe County, Colorado",0,38563,7007,516530,52406
88,0500000US08013,"Boulder County, Colorado",0,15560,1296,277747,6771
89,0500000US08014,"Broomfield County, Colorado",0,3943,86,58387,2041
90,0500000US08031,"Denver County, Colorado",339,25721,2935,483719,51872
91,0500000US08035,"Douglas County, Colorado",0,15524,675,300749,4939
92,0500000US08041,"El Paso County, Colorado",304,18301,5105,573436,33892
93,0500000US08059,"Jefferson County, Colorado",697,17174,2194,485109,12718
94,0500000US08069,"Larimer County, Colorado",0,7489,1232,301884,8874
95,0500000US08077,"Mesa County, Colorado",0,1263,0,128516,2942
96,0500000US08101,"Pueblo County, Colorado",528,1310,0,94510,14203
97,0500000US08123,"Weld County, Colorado",0,4523,195,209151,8543
98,0500000US09001,"Fairfield County, Connecticut",0,50381,2789,760543,62314
99,0500000US09003,"Hartford County, Connecticut",0,45365,3393,735163,65284
100,0500000US09005,"Litchfield County, Connecticut",0,4476,0,171777,1825
101,0500000US09007,"Middlesex County, Connecticut",0,4893,241,153393,1349
102,0500000US09009,"New Haven County, Connecticut",0,35579,2501,705726,50296
103,0500000US09011,"New London County, Connecticut",0,12084,450,241753,10949
104,0500000US09013,"Tolland County, Connecticut",0,7366,794,142952,1822
105,0500000US09015,"Windham County, Connecticut",0,1806,0,102798,2877
106,0500000US10001,"Kent County, Delaware",0,3125,447,162777,3073
107,0500000US10003,"New Castle County, Delaware",0,29993,1862,502427,11581
108,0500000US10005,"Sussex County, Delaware",0,2528,0,199709,3138
109,0500000US11001,"District of Columbia, District of Columbia",0,26436,2787,606748,40087
110,0500000US12001,"Alachua County, Florida",0,16798,1195,238736,3770
111,0500000US12005,"Bay County, Florida",0,5077,0,172369,1383
112,0500000US12009,"Brevard County, Florida",0,14164,875,522034,12825
113,0500000US12011,"Broward County, Florida",0,69401,1090,1361322,74953
114,0500000US12015,"Charlotte County, Florida",0,1660,0,166160,1787
115,0500000US12017,"Citrus County, Florida",0,2496,0,135840,1264
116,0500000US12019,"Clay County, Florida",0,5746,0,188252,5050
117,0500000US12021,"Collier County, Florida",0,4794,454,266607,8899
118,0500000US12023,"Columbia County, Florida",0,539,0,65157,1315
119,0500000US12031,"Duval County, Florida",0,39936,2460,840836,19342
120,0500000US12033,"Escambia County, Florida",0,9687,538,297417,4464
121,0500000US12035,"Flagler County, Florida",0,2830,0,97182,2388
122,0500000US12053,"Hernando County, Florida",0,2262,0,160211,3733
123,0500000US12055,"Highlands County, Florida",0,1361,0,81639,8941
124,0500000US12057,"Hillsborough County, Florida",0,54822,4437,996238,75170
125,0500000US12061,"Indian River County, Florida",0,1978,0,133332,3617
126,0500000US12069,"Lake County, Florida",0,6718,0,285934,1898
127,0500000US12071,"Lee County, Florida",0,11131,271,574502,24052
128,0500000US12073,"Leon County, Florida",0,10203,1760,269860,3336
129,0500000US12081,"Manatee County, Florida",0,7143,103,315325,9051
130,0500000US12083,"Marion County, Florida",0,4308,0,305306,4388
131,0500000US12085,"Martin County, Florida",0,1252,0,137760,6187
132,0500000US12086,"Miami-Dade County, Florida",0,43745,1380,877532,139716
133,0500000US12087,"Monroe County, Florida",0,1156,0,60855,541
134,0500000US12089,"Nassau County, Florida",0,0,0,77239,1190
135,0500000US12091,"Okaloosa County, Florida",0,5770,1108,183696,9386
136,0500000US12095,"Orange County, Florida",0,70844,3365,913019,81957
137,0500000US12097,"Osceola County, Florida",0,9588,0,160254,27584
138,0500000US12099,"Palm Beach County, Florida",0,38391,1529,1133861,32512
139,0500000US12101,"Pasco County, Florida",0,12829,1239,439059,7768
140,0500000US12103,"Pinellas County, Florida",0,33027,1384,871325,17944
141,0500000US12105,"Polk County, Florida",0,12565,53,525507,12886
142,0500000US12107,"Putnam County, Florida",0,0,0,65210,0
143,0500000US12109,"St. Johns County, Florida",0,6363,0,219634,2444
144,0500000US12111,"St. Lucie County, Florida",0,6005,0,250309,6888
145,0500000US12113,"Santa Rosa County, Florida",0,3459,0,161265,840
146,0500000US12115,"Sarasota County, Florida",0,6544,86,376027,4773
147,0500000US12117,"Seminole County, Florida",0,19098,1135,362763,16257
148,0500000US12119,"Sumter County, Florida",0,558,0,117157,1900
149,0500000US12127,"Volusia County, Florida",0,9730,2184,460324,8760
150,0500000US12131,"Walton County, Florida",0,631,0,61867,2075
151,0500000US13013,"Barrow County, Georgia",0,2902,0,69152,3842
152,0500000US13015,"Bartow County, Georgia",0,890,0,95034,3729
153,0500000US13021,"Bibb County, Georgia",0,3089,0,147905,1839
154,0500000US13031,"Bulloch County, Georgia",0,852,0,71930,1779
155,0500000US13045,"Carroll County, Georgia",0,1122,0,108201,4218
156,0500000US13047,"Catoosa County, Georgia",0,0,0,64465,0
157,0500000US13051,"Chatham County, Georgia",0,6369,330,270782,5837
158,0500000US13057,"Cherokee County, Georgia",0,5002,0,217415,7183
159,0500000US13059,"Clarke County, Georgia",0,5209,0,111294,3305
160,0500000US13063,"Clayton County, Georgia",0,14614,0,242730,22230
161,0500000US13067,"Cobb County, Georgia",0,39953,4401,651887,41252
162,0500000US13073,"Columbia County, Georgia",0,6402,686,137739,1565
163,0500000US13077,"Coweta County, Georgia",0,1696,0,131036,3594
164,0500000US13089,"DeKalb County, Georgia",0,45634,2838,677034,14180
165,0500000US13095,"Dougherty County, Georgia",0,799,0,87602,692
166,0500000US13097,"Douglas County, Georgia",0,2242,0,128810,3257
167,0500000US13113,"Fayette County, Georgia",0,4945,0,103648,2817
168,0500000US13115,"Floyd County, Georgia",0,1623,0,86111,4836
169,0500000US13117,"Forsyth County, Georgia",0,25847,3247,200395,3879
170,0500000US13121,"Fulton County, Georgia",0,68259,8541,948483,16686
171,0500000US13127,"Glynn County, Georgia",0,1114,0,78691,1503
172,0500000US13135,"Gwinnett County, Georgia",0,103900,23943,718085,94530
173,0500000US13139,"Hall County, Georgia",0,3451,0,141562,5643
174,0500000US13151,"Henry County, Georgia",0,7935,0,207172,3669
175,0500000US13153,"Houston County, Georgia",0,4623,0,142061,3265
176,0500000US13179,"Liberty County, Georgia",0,940,0,54861,2903
177,0500000US13185,"Lowndes County, Georgia",0,418,0,108202,1188
178,0500000US13215,"Muscogee County, Georgia",0,4160,1070,182510,7898
179,0500000US13217,"Newton County, Georgia",0,0,0,101298,0
180,0500000US13223,"Paulding County, Georgia",0,533,0,146351,2137
181,0500000US13245,"Richmond County, Georgia",0,4084,959,191773,2571
