,GEO_ID,NAME,unemp_rate,med_hh_inc,mean_hh_inc
1,0500000US01003,"Baldwin County, Alabama",2.4,56813.0,80251.0
2,0500000US01015,"Calhoun County, Alabama",8.1,45818.0,61117.0
3,0500000US01043,"Cullman County, Alabama",4.3,44612.0,67585.0
4,0500000US01049,"DeKalb County, Alabama",3.2,36998.0,57354.0
5,0500000US01051,"Elmore County, Alabama",5.3,60796.0,70961.0
6,0500000US01055,"Etowah County, Alabama",5.2,45868.0,63046.0
7,0500000US01069,"Houston County, Alabama",6.0,48105.0,66880.0
8,0500000US01073,"Jefferson County, Alabama",6.7,55206.0,78690.0
9,0500000US01077,"Lauderdale County, Alabama",2.3,49014.0,69253.0
10,0500000US01081,"Lee County, Alabama",5.8,46456.0,73270.0
11,0500000US01083,"Limestone County, Alabama",5.1,67000.0,76168.0
12,0500000US01089,"Madison County, Alabama",5.2,63111.0,85717.0
13,0500000US01095,"Marshall County, Alabama",4.4,47528.0,63466.0
14,0500000US01097,"Mobile County, Alabama",5.6,43061.0,60779.0
15,0500000US01101,"Montgomery County, Alabama",6.5,49989.0,74318.0
16,0500000US01103,"Morgan County, Alabama",3.3,53260.0,70726.0
17,0500000US01115,"St. Clair County, Alabama",3.8,56602.0,69677.0
18,0500000US01117,"Shelby County, Alabama",3.2,71230.0,96481.0
19,0500000US01121,"Talladega County, Alabama",8.5,40315.0,58110.0
20,0500000US01125,"Tuscaloosa County, Alabama",4.1,54459.0,71000.0
21,0500000US01127,"Walker County, Alabama",7.9,47602.0,64412.0
22,0500000US02020,"Anchorage Municipality, Alaska",5.5,83648.0,106660.0
23,0500000US02090,"Fairbanks North Star Borough, Alaska",5.6,75448.0,98389.0
24,0500000US02170,"Matanuska-Susitna Borough, Alaska",8.4,72667.0,91159.0
25,0500000US04001,"Apache County, Arizona",9.6,30207.0,42002.0
26,0500000US04003,"Cochise County, Arizona",6.1,50495.0,64549.0
27,0500000US04005,"Coconino County, Arizona",5.8,61843.0,78885.0
28,0500000US04013,"Maricopa County, Arizona",4.6,65252.0,89077.0
29,0500000US04015,"Mohave County, Arizona",9.9,46060.0,57206.0
30,0500000US04017,"Navajo County, Arizona",14.4,40463.0,53791.0
31,0500000US04019,"Pima County, Arizona",5.7,53464.0,73423.0
32,0500000US04021,"Pinal County, Arizona",7.2,59058.0,69864.0
33,0500000US04025,"Yavapai County, Arizona",7.3,48148.0,65373.0
34,0500000US04027,"Yuma County, Arizona",7.6,43403.0,59035.0
35,0500000US05007,"Benton County, Arkansas",2.7,67164.0,97031.0
36,0500000US05031,"Craighead County, Arkansas",5.9,44810.0,62797.0
37,0500000US05045,"Faulkner County, Arkansas",3.3,51437.0,71385.0
38,0500000US05051,"Garland County, Arkansas",3.4,42779.0,63690.0
39,0500000US05069,"Jefferson County, Arkansas",8.7,35652.0,53235.0
40,0500000US05085,"Lonoke County, Arkansas",4.3,53782.0,70716.0
41,0500000US05119,"Pulaski County, Arkansas",4.3,49613.0,78950.0
42,0500000US05125,"Saline County, Arkansas",2.4,63084.0,76913.0
43,0500000US05131,"Sebastian County, Arkansas",3.5,46826.0,65730.0
44,0500000US05143,"Washington County, Arkansas",3.5,50342.0,72794.0
45,0500000US05145,"White County, Arkansas",5.4,42270.0,62733.0
46,0500000US06001,"Alameda County, California",4.0,102125.0,134377.0
47,0500000US06007,"Butte County, California",7.3,51652.0,72948.0
48,0500000US06013,"Contra Costa County, California",4.6,101618.0,137621.0
49,0500000US06017,"El Dorado County, California",4.4,82742.0,108803.0
50,0500000US06019,"Fresno County, California",8.1,52629.0,72519.0
51,0500000US06023,"Humboldt County, California",9.4,50294.0,64549.0
52,0500000US06025,"Imperial County, California",12.8,48984.0,60686.0
53,0500000US06029,"Kern County, California",8.9,51579.0,71441.0
54,0500000US06031,"Kings County, California",8.8,61663.0,74030.0
55,0500000US06033,"Lake County, California",5.6,48554.0,71170.0
56,0500000US06037,"Los Angeles County, California",5.6,68093.0,98977.0
57,0500000US06039,"Madera County, California",11.5,56305.0,71817.0
58,0500000US06041,"Marin County, California",2.5,126373.0,172907.0
59,0500000US06045,"Mendocino County, California",5.8,51830.0,66691.0
60,0500000US06047,"Merced County, California",10.3,57745.0,76713.0
61,0500000US06053,"Monterey County, California",4.4,70681.0,100358.0
62,0500000US06055,"Napa County, California",5.5,87025.0,112978.0
63,0500000US06057,"Nevada County, California",3.4,66299.0,86835.0
64,0500000US06059,"Orange County, California",4.1,89759.0,122301.0
65,0500000US06061,"Placer County, California",4.0,88592.0,111541.0
66,0500000US06065,"Riverside County, California",6.5,66964.0,89761.0
67,0500000US06067,"Sacramento County, California",5.5,69767.0,89707.0
68,0500000US06071,"San Bernardino County, California",6.7,63857.0,82105.0
69,0500000US06073,"San Diego County, California",5.4,79079.0,106237.0
70,0500000US06075,"San Francisco County, California",3.7,112376.0,166893.0
71,0500000US06077,"San Joaquin County, California",6.0,64119.0,84697.0
72,0500000US06079,"San Luis Obispo County, California",4.8,71148.0,96520.0
73,0500000US06081,"San Mateo County, California",3.8,124425.0,176077.0
74,0500000US06083,"Santa Barbara County, California",5.9,77472.0,110655.0
75,0500000US06085,"Santa Clara County, California",3.9,126606.0,170966.0
76,0500000US06087,"Santa Cruz County, California",6.6,86941.0,119608.0
77,0500000US06089,"Shasta County, California",8.3,56280.0,71942.0
78,0500000US06095,"Solano County, California",4.6,84395.0,102658.0
79,0500000US06097,"Sonoma County, California",4.5,81395.0,108278.0
80,0500000US06099,"Stanislaus County, California",8.8,60321.0,78370.0
81,0500000US06101,"Sutter County, California",9.0,59121.0,81131.0
82,0500000US06107,"Tulare County, California",10.3,48817.0,71856.0
83,0500000US06111,"Ventura County, California",4.4,84566.0,110437.0
84,0500000US06113,"Yolo County, California",5.8,68670.0,94082.0
85,0500000US06115,"Yuba County, California",8.3,46574.0,64235.0
86,0500000US08001,"Adams County, Colorado",3.4,70743.0,88163.0
87,0500000US08005,"Arapahoe County, Colorado",3.8,76768.0,103078.0
88,0500000US08013,"Boulder County, Colorado",3.6,83755.0,113968.0
89,0500000US08014,"Broomfield County, Colorado",3.1,95800.0,120782.0
90,0500000US08031,"Denver County, Colorado",3.6,68377.0,99728.0
91,0500000US08035,"Douglas County, Colorado",2.8,119615.0,145975.0
92,0500000US08041,"El Paso County, Colorado",5.3,68119.0,87839.0
93,0500000US08059,"Jefferson County, Colorado",3.1,85890.0,106269.0
94,0500000US08069,"Larimer County, Colorado",4.1,71091.0,92688.0
95,0500000US08077,"Mesa County, Colorado",6.3,49848.0,68620.0
96,0500000US08101,"Pueblo County, Colorado",6.6,48468.0,60765.0
97,0500000US08123,"Weld County, Colorado",4.4,75938.0,90525.0
98,0500000US09001,"Fairfield County, Connecticut",6.1,91079.0,150366.0
99,0500000US09003,"Hartford County, Connecticut",5.3,73151.0,101945.0
100,0500000US09005,"Litchfield County, Connecticut",4.1,76043.0,102726.0
101,0500000US09007,"Middlesex County, Connecticut",4.8,89131.0,111125.0
